open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1579824000000,8410.00,8424.97,8283.40,8329.35,25374.351,1579845599999,211782982.74707,54533,12494.926,104290926.01721,0
1579845600000,8329.35,8422.59,8247.00,8416.56,42223.598,1579867199999,351575880.63901,97369,21079.604,175580873.52356,0
1579867200000,8416.63,8528.00,8371.20,8476.72,48329.644,1579888799999,408980502.08773,108530,25079.654,212261394.41224,0
1579888800000,8476.72,8527.38,8418.00,8441.96,28857.798,1579910399999,244737986.06227,55938,13993.288,118702179.16538,0
1579910400000,8442.82,8455.00,8272.00,8330.93,34499.500,1579931999999,287340512.62009,68608,16403.219,136602883.70920,0
1579932000000,8330.93,8390.00,8310.00,8319.01,21451.262,1579953599999,178969211.82497,40175,10565.269,88154895.27010,0
1579953600000,8318.79,8366.14,8290.90,8340.35,18754.706,1579975199999,156313415.25339,35569,9524.584,79395651.67431,0
1579975200000,8340.35,8425.00,8326.00,8344.64,22256.246,1579996799999,186456543.64854,42520,11167.804,93576067.73327,0
1579996800000,8344.37,8399.00,8300.00,8380.96,18194.187,1580018399999,151933838.11368,31752,9080.908,75843975.89264,0
1580018400000,8380.54,8488.00,8341.33,8481.78,35657.221,1580039999999,300410535.96712,62836,18037.138,152017620.91565,0
1580040000000,8482.47,8591.37,8442.00,8577.08,35384.764,1580061599999,300970019.71426,70333,19041.682,161995663.93227,0
1580061600000,8576.87,8624.45,8544.07,8611.21,28662.744,1580083199999,245992089.34420,53426,15023.876,128966204.51851,0
1580083200000,8611.21,8700.00,8611.00,8651.04,32903.342,1580104799999,284863934.33378,62045,17005.116,147234946.07592,0
1580104800000,8650.88,8764.00,8565.00,8737.66,35501.693,1580126399999,307371763.45501,77495,18595.021,161057916.40880,0
1580126400000,8737.24,8814.86,8707.00,8767.21,47038.895,1580147999999,412129252.10764,100385,23316.850,204316897.00113,0
1580148000000,8767.56,9015.48,8760.00,8913.61,56791.398,1580169599999,506699660.66082,119109,29843.425,266207362.61359,0
1580169600000,8913.61,9176.68,8913.61,9067.28,58214.947,1580191199999,528665882.54482,120214,29424.026,267188955.87274,0
1580191200000,9066.53,9125.42,8952.41,9089.93,46300.358,1580212799999,418261841.06176,76892,22653.347,204666362.58034,0
1580212800000,9089.40,9207.81,8905.00,8992.28,75581.478,1580234399999,684227996.03373,141278,36312.435,328910170.48544,0
1580234400000,8992.57,9436.06,8974.63,9398.98,64370.763,1580255999999,591622385.63067,117601,34793.276,319714376.75421,0
1580256000000,9399.72,9450.00,9291.50,9366.91,47470.643,1580277599999,444714576.33826,83891,23291.906,218235796.75759,0
1580277600000,9367.19,9449.00,9242.00,9313.47,53740.829,1580299199999,502158238.50768,110207,25653.634,239804287.98805,0
1580299200000,9312.42,9384.08,9263.27,9352.00,34702.253,1580320799999,323615709.13803,71159,17422.455,162489802.91754,0
1580320800000,9352.00,9460.52,9295.62,9311.00,33546.918,1580342399999,314485904.31548,72898,16445.380,154220220.90068,0
1580342400000,9311.23,9369.81,9210.42,9326.56,28640.066,1580363999999,266192690.43780,59296,13382.668,124393728.23459,0
1580364000000,9326.10,9415.20,9315.39,9350.20,28084.862,1580385599999,263016052.65721,61721,14427.858,135134965.00730,0
1580385600000,9350.20,9531.00,9223.00,9475.75,87005.715,1580407199999,817581861.39810,181096,44766.771,420957037.16580,0
1580407200000,9475.75,9599.00,9464.04,9525.67,46406.893,1580428799999,442390835.94127,91619,23831.072,227211094.58125,0
